NanoHarp 250 Histogram Data			02/04/2021 11:01:44 AM
#channels per curve
1075
#display curve no.
1	2	3	4	5	6	
#memory block no.
1	2	3	4	5	6	
#ns/channel
1024.0000	1024.0000	1024.0000	1024.0000	1024.0000	1024.0000	
#counts
18	17	8	17	17	10	
19	12	9	15	14	17	
10	10	11	18	11	22	
21	12	15	16	19	17	
24	16	23	19	25	25	
32	13	28	39	33	34	
31	26	47	55	27	53	
34	30	59	80	31	65	
54	47	92	109	32	82	
64	40	107	161	50	114	
80	52	130	212	70	150	
101	69	168	248	73	204	
113	99	241	327	89	257	
127	104	284	341	95	276	
157	133	316	429	148	311	
186	142	399	484	144	427	
218	165	381	561	206	421	
224	199	456	633	208	525	
259	235	585	662	248	594	
303	234	640	758	232	663	
291	262	692	870	309	766	
353	274	659	939	355	792	
390	334	778	974	376	886	
403	345	824	1039	372	904	
407	394	913	1117	462	1019	
453	446	924	1235	488	1098	
514	439	967	1263	532	1098	
498	525	1158	1317	568	1204	
562	575	1177	1422	612	1310	
582	574	1228	1452	600	1346	
664	634	1243	1488	680	1473	
636	650	1334	1645	702	1468	
670	666	1393	1707	672	1529	
732	708	1479	1725	777	1667	
779	747	1547	1752	797	1670	
755	834	1562	1819	898	1695	
757	845	1605	1959	866	1779	
902	857	1717	1930	998	1840	
865	968	1751	1964	949	1856	
911	944	1859	1975	980	1905	
986	999	1802	2114	1029	1924	
977	1042	1890	2117	1126	1999	
1033	998	2009	2177	1077	2051	
1006	1142	2004	2194	1267	2079	
1092	1173	2073	2328	1238	2169	
1109	1233	2107	2325	1238	2156	
1159	1220	2118	2327	1276	2191	
1143	1256	2185	2377	1305	2308	
1158	1350	2205	2389	1327	2288	
1265	1317	2247	2486	1338	2302	
1208	1406	2275	2474	1421	2359	
1328	1419	2344	2510	1492	2399	
1369	1417	2331	2550	1561	2398	
1361	1404	2358	2601	1572	2533	
1452	1509	2442	2697	1544	2500	
1419	1576	2513	2689	1536	2497	
1474	1570	2487	2736	1658	2520	
1525	1649	2620	2762	1657	2578	
1471	1709	2584	2789	1650	2644	
1619	1671	2628	2846	1761	2684	
1601	1823	2648	2842	1775	2675	
1602	1739	2706	2868	1809	2686	
1672	1795	2776	2906	1775	2752	
1627	1823	2753	3004	1854	2690	
1702	1843	2796	3004	1819	2802	
1814	1845	2782	2992	1977	2837	
1688	1878	2834	3060	1937	2812	
1816	1904	2846	2956	2010	2831	
1776	2039	2805	3095	1974	2878	
1851	2021	2894	2978	1996	2865	
1820	2054	2909	3051	2101	2918	
1884	2054	2889	3068	2157	2939	
1890	2098	2913	3136	2155	2899	
1869	2113	2919	3158	2170	2939	
1998	2114	3017	3206	2143	2969	
1980	2204	2966	3236	2249	2969	
2020	2231	3103	3224	2226	2976	
2068	2290	3122	3237	2316	2996	
2040	2242	3115	3205	2211	3020	
2085	2252	3114	3259	2272	3082	
2146	2292	3124	3247	2264	3038	
2135	2346	3182	3215	2393	3098	
2134	2311	3124	3244	2285	3113	
2162	2453	3176	3419	2362	3103	
2162	2386	3262	3288	2437	3177	
2254	2419	3240	3296	2484	3139	
2227	2476	3282	3446	2473	3180	
2255	2438	3200	3432	2500	3247	
2319	2537	3324	3325	2477	3205	
2271	2532	3269	3462	2597	3180	
2312	2554	3297	3422	2637	3264	
2447	2610	3267	3398	2601	3260	
2348	2597	3300	3405	2596	3238	
2420	2655	3290	3473	2664	3281	
2395	2576	3350	3405	2620	3331	
2394	2685	3329	3563	2760	3288	
2409	2750	3256	3618	2647	3343	
2544	2751	3416	3452	2747	3331	
2567	2779	3420	3467	2803	3323	
2545	2726	3396	3598	2782	3347	
2475	2711	3410	3522	2801	3398	
2568	2820	3427	3538	2789	3389	
2550	2776	3485	3596	2805	3416	
2528	2811	3433	3465	2880	3377	
2593	2889	3404	3617	2863	3456	
2696	2848	3412	3659	2939	3410	
2589	2859	3563	3535	2921	3445	
2631	2944	3503	3682	2831	3356	
2614	2929	3524	3476	2978	3510	
2680	2885	3424	3627	2948	3426	
2695	2918	3565	3615	2866	3448	
2768	3041	3458	3678	2969	3495	
2708	3030	3564	3625	3041	3453	
2817	3050	3608	3699	3048	3473	
2861	3013	3549	3737	2999	3511	
2877	3087	3597	3742	3125	3528	
2815	2999	3502	3660	3122	3465	
2881	3046	3569	3628	3092	3601	
2962	3090	3633	3691	3084	3577	
2859	3194	3608	3698	3162	3550	
2978	3184	3609	3694	3252	3507	
2987	3108	3676	3800	3193	3598	
3018	3127	3621	3840	3206	3546	
2920	3054	3593	3764	3165	3632	
2989	3088	3665	3775	3236	3610	
2984	3158	3635	3782	3145	3591	
3036	3202	3711	3746	3237	3624	
2990	3235	3583	3704	3307	3589	
3043	3229	3682	3871	3189	3598	
3096	3231	3672	3711	3382	3651	
3068	3308	3660	3756	3350	3685	
3095	3249	3711	3695	3372	3647	
3167	3307	3638	3734	3212	3662	
3114	3221	3760	3773	3333	3676	
3192	3259	3703	3709	3330	3708	
3130	3311	3719	3788	3336	3706	
3199	3313	3735	3696	3315	3672	
3234	3311	3678	3753	3383	3707	
3323	3324	3748	3864	3321	3673	
3287	3390	3784	3789	3297	3764	
3341	3434	3666	3860	3379	3707	
3273	3368	3694	3799	3465	3695	
3257	3390	3829	3809	3412	3714	
3287	3338	3762	3832	3493	3730	
3260	3467	3708	3808	3521	3728	
3328	3517	3815	3778	3457	3685	
3330	3402	3793	3799	3466	3765	
3376	3533	3766	3700	3538	3712	
3386	3490	3733	3837	3446	3773	
3348	3460	3835	3738	3475	3756	
3382	3440	3750	3799	3519	3770	
3439	3601	3723	3801	3514	3771	
3392	3536	3827	3888	3620	3767	
3414	3555	3834	3990	3622	3772	
3508	3567	3761	3922	3528	3793	
3439	3516	3792	3775	3560	3799	
