NanoHarp 250 Histogram Data			02/04/2021 11:41:20 AM
#channels per curve
1075
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/channel
1024.0000	1024.0000	1024.0000	1024.0000	
#counts
16	3	8	11	
22	4	12	22	
18	7	17	14	
19	8	15	19	
26	9	23	22	
20	16	27	16	
33	13	42	33	
37	26	56	25	
35	33	83	57	
46	40	116	59	
53	66	165	82	
82	86	204	120	
86	105	232	161	
95	125	334	219	
128	192	347	270	
144	201	490	285	
150	209	563	361	
178	230	634	424	
206	279	736	524	
239	320	836	567	
238	354	869	640	
273	418	960	762	
343	429	1108	878	
351	468	1203	943	
405	511	1249	1051	
422	554	1341	1123	
402	628	1445	1285	
505	651	1524	1364	
564	727	1602	1381	
553	751	1729	1506	
621	821	1790	1541	
632	816	1891	1653	
665	906	1914	1744	
686	1016	1936	1809	
763	972	2097	1889	
777	1063	2132	1969	
774	1126	2259	2060	
881	1188	2208	2174	
887	1190	2309	2213	
961	1310	2386	2262	
957	1324	2473	2282	
1015	1383	2555	2398	
1039	1392	2568	2390	
1089	1471	2519	2451	
1116	1505	2613	2583	
1170	1525	2690	2584	
1211	1628	2773	2650	
1271	1624	2786	2708	
1317	1646	2864	2715	
1292	1718	2853	2801	
1405	1738	2923	2814	
1366	1708	2917	2841	
1418	1816	2961	2871	
1411	1864	3000	2940	
1466	1926	3007	2980	
1512	1935	3047	2983	
1569	2021	3080	3011	
1647	2056	3093	3090	
1604	2046	3139	3102	
1659	2100	3112	3120	
1720	2174	3202	3160	
1779	2171	3115	3192	
1738	2160	3221	3195	
1874	2213	3219	3235	
1776	2295	3285	3305	
1827	2317	3291	3282	
1850	2243	3313	3286	
1894	2322	3293	3349	
1906	2324	3379	3364	
1926	2442	3323	3354	
2113	2424	3418	3386	
1966	2464	3367	3373	
2178	2526	3427	3393	
2045	2506	3419	3408	
2099	2560	3440	3413	
2129	2594	3448	3456	
2183	2574	3530	3489	
2266	2588	3479	3533	
2239	2636	3489	3518	
2226	2620	3454	3537	
2302	2728	3548	3531	
2319	2667	3521	3555	
2388	2765	3613	3587	
2359	2678	3592	3594	
2393	2833	3591	3620	
2346	2755	3608	3621	
2433	2841	3620	3620	
2438	2865	3601	3635	
2544	2915	3647	3645	
2505	2943	3628	3647	
2479	2961	3655	3622	
2526	2939	3637	3649	
2543	2940	3612	3658	
2618	2999	3686	3714	
2575	3050	3668	3702	
2643	2982	3669	3695	
2668	3060	3628	3692	
2683	3037	3663	3709	
2645	3084	3629	3737	
2669	3051	3775	3735	
2787	3078	3682	3767	
2720	3087	3667	3771	
2770	3125	3764	3781	
2844	3216	3716	3771	
2787	3166	3695	3768	
2757	3195	3704	3757	
2865	3234	3706	3754	
2873	3266	3744	3759	
2946	3269	3741	3790	
2902	3129	3759	3823	
2866	3219	3820	3802	
2931	3272	3745	3805	
2968	3212	3744	3818	
2895	3323	3747	3840	
2968	3289	3830	3805	
2986	3335	3798	3833	
2934	3288	3789	3784	
3131	3355	3773	3824	
2974	3307	3776	3848	
3056	3390	3833	3816	
3026	3389	3802	3852	
3195	3414	3760	3857	
3064	3409	3821	3844	
3133	3452	3841	3875	
3243	3406	3849	3887	
3145	3458	3833	3840	
3226	3423	3813	3903	
3161	3444	3828	3874	
3186	3482	3838	3884	
3110	3488	3837	3900	
3204	3487	3842	3871	
3282	3485	3876	3923	
3242	3488	3858	3903	
3204	3529	3853	3916	
3315	3520	3855	3934	
3467	3610	3896	3926	
3400	3647	3887	3925	
3350	3633	3847	3933	
3326	3591	3835	3926	
3316	3610	3907	3905	
3408	3639	3882	3918	
3447	3578	3866	3962	
3284	3685	3869	3938	
3410	3633	3904	3895	
3413	3561	3882	3926	
3450	3656	3931	3905	
3443	3601	3863	3907	
3547	3622	3925	3926	
3493	3720	3870	3973	
3451	3697	3887	3944	
3576	3648	3959	3975	
3481	3656	3904	3918	
3580	3683	3906	3938	
3524	3709	3869	3932	
3553	3688	3967	3926	
3507	3774	3933	3962	
3653	3725	3895	3930	
3551	3717	3919	3916	
3589	3714	3963	3978	
3603	3780	3942	3918	
3608	3787	3913	3930	
3591	3827	3899	3936	
3527	3813	3936	3957	
3656	3829	3918	3956	
3533	3757	3919	3914	
3584	3820	3933	3916	
3522	3838	3957	3964	
3672	3809	3938	3939	
3693	3845	3934	3942	
3670	3835	3952	3961	
3671	3789	3889	3929	
3647	3743	3958	3949	
3784	3835	3972	3964	
3729	3800	3969	3954	
3692	3887	3969	4007	
3679	3816	3972	3987	
3724	3839	3947	3956	
3711	3853	3944	3958	
3786	3846	3942	3955	
3703	3839	3953	3944	
3723	3851	3955	3984	
3772	3894	3991	3981	
3771	3943	3942	3994	
3800	3867	3906	3991	
3775	3978	3950	3978	
3753	3993	3964	3968	
3887	3980	3968	3963	
3854	3934	4007	4017	
3817	3951	3984	4013	
3844	3961	3945	3989	
3903	3999	3975	3970	
3869	3842	3991	3972	
3806	3965	3949	3997	
3896	3906	3986	3971	
4001	4003	3967	3985	
3819	3928	4000	3991	
3872	3966	3976	3980	
3872	3950	3994	3960	
3896	3957	3909	3963	
3889	3929	4020	3988	
3987	3943	3945	3961	
3835	3959	3982	3978	
3904	3979	3931	3953	
3852	3996	3936	3977	
3924	3936	3918	3964	
3908	3900	3906	3983	
3779	3915	3883	3947	
3861	3954	3900	3951	
3823	3891	3833	3951	
3820	3915	3844	3937	
3735	3923	3821	3922	
3757	3938	3863	3916	
3917	3861	3796	3911	
3737	3829	3793	3913	
3694	3797	3723	3907	
3750	3847	3790	3926	
3744	3812	3769	3888	
3728	3781	3750	3895	
3722	3714	3715	3887	
3714	3757	3719	3906	
3591	3749	3668	3895	
3555	3641	3629	3863	
3632	3689	3601	3873	
3589	3649	3661	3859	
3578	3650	3590	3864	
3499	3628	3623	3840	
3554	3607	3600	3815	
3516	3582	3589	3809	
3393	3635	3571	3828	
3393	3614	3484	3814	
3436	3550	3498	3818	
3502	3576	3525	3826	
3384	3526	3510	3775	
3426	3539	3513	3812	
3400	3554	3441	3801	
3432	3461	3481	3770	
3330	3505	3454	3763	
3335	3399	3414	3738	
3329	3400	3421	3746	
3348	3454	3405	3744	
3221	3383	3351	3687	
3288	3372	3381	3730	
3318	3394	3331	3704	
3185	3435	3316	3698	
3233	3264	3362	3678	
3199	3365	3306	3683	
3203	3301	3287	3660	
3149	3320	3228	3652	
3162	3243	3253	3632	
3123	3248	3267	3659	
3020	3259	3220	3628	
3099	3192	3223	3671	
3125	3172	3167	3611	
2953	3238	3193	3614	
3059	3223	3143	3568	
3126	3201	3112	3570	
3022	3151	3133	3581	
2956	3118	3151	3551	
2918	3080	3078	3549	
2937	3134	3093	3543	
2845	3070	3076	3558	
2926	3016	3087	3550	
2961	3030	3056	3518	
2822	3017	3065	3496	
2916	3050	3018	3476	
2980	3044	2998	3447	
2899	3022	3030	3472	
2821	2950	2943	3440	
2684	2962	2930	3471	
2829	2867	2957	3440	
2815	2866	2916	3419	
2775	2894	2898	3427	
2804	2848	2896	3401	
2669	2805	2875	3432	
2757	2887	2889	3431	
2685	2837	2816	3369	
2682	2728	2841	3377	
2711	2754	2844	3336	
2600	2739	2847	3379	
2592	2699	2845	3311	
2591	2725	2751	3362	
2680	2731	2767	3305	
2614	2686	2728	3319	
2535	2672	2764	3279	
2646	2652	2760	3294	
2585	2662	2738	3282	
2621	2744	2722	3252	
2492	2659	2762	3264	
2575	2573	2644	3233	
2552	2600	2652	3273	
2563	2663	2690	3243	
2514	2604	2701	3202	
2532	2514	2597	3225	
2482	2517	2546	3184	
2511	2489	2580	3142	
2379	2532	2587	3116	
2527	2467	2587	3178	
2459	2416	2601	3151	
2372	2460	2568	3148	
2352	2404	2572	3104	
2368	2420	2493	3118	
2355	2344	2551	3149	
2416	2433	2537	3085	
2270	2360	2442	3077	
2254	2397	2516	3092	
2273	2339	2424	3072	
2270	2331	2457	3047	
2198	2233	2420	3045	
2233	2251	2393	3012	
2163	2282	2357	2983	
2305	2306	2363	2937	
2223	2263	2420	2951	
2244	2255	2372	2971	
2197	2167	2403	2951	
2269	2244	2320	2944	
2208	2204	2313	2911	
2154	2182	2319	2925	
2174	2170	2252	2935	
2252	2244	2328	2889	
2100	2146	2282	2900	
2111	2151	2247	2855	
2109	2149	2319	2918	
2015	2114	2196	2863	
2165	2126	2282	2816	
2127	2099	2249	2823	
2073	2105	2253	2814	
2017	2044	2136	2834	
2013	2046	2191	2803	
1988	2084	2161	2805	
2095	2028	2162	2757	
2065	1995	2146	2786	
2109	2006	2136	2728	
2035	1992	2079	2718	
2071	1951	2116	2721	
2051	2033	2112	2701	
2116	1935	2071	2656	
1891	1934	2063	2736	
1901	1909	2008	2651	
1934	1903	2032	2690	
2011	1949	2003	2643	
1930	1893	2041	2625	
1907	1876	1999	2572	
1935	1926	2037	2613	
1895	1816	2019	2617	
1925	1823	1967	2594	
1958	1841	1973	2556	
1852	1794	2000	2559	
1899	1792	1980	2545	
1885	1799	1840	2557	
1805	1814	1932	2531	
1842	1775	1886	2488	
1821	1795	1941	2533	
1795	1670	1881	2502	
1798	1757	1980	2469	
1844	1748	1845	2452	
1771	1721	1861	2493	
1801	1651	1864	2426	
1762	1781	1801	2447	
1788	1711	1797	2414	
1773	1694	1755	2403	
1742	1639	1778	2393	
1761	1719	1849	2372	
1742	1615	1764	2347	
1779	1682	1771	2352	
1691	1638	1744	2331	
1704	1610	1722	2344	
1644	1607	1738	2343	
1545	1631	1692	2299	
1720	1602	1754	2322	
1596	1589	1732	2282	
1691	1538	1698	2244	
1641	1603	1722	2290	
1618	1557	1699	2226	
1682	1552	1708	2233	
1607	1575	1696	2244	
1560	1540	1651	2235	
1591	1547	1638	2204	
1686	1505	1635	2167	
1633	1546	1632	2208	
1609	1440	1637	2138	
1568	1360	1591	2167	
1556	1475	1628	2171	
1606	1412	1644	2133	
1532	1444	1567	2188	
1465	1385	1577	2098	
1532	1391	1593	2128	
1531	1419	1509	2070	
1529	1443	1481	2073	
1527	1410	1519	2057	
1502	1401	1557	2044	
1560	1355	1537	2028	
1469	1308	1518	1996	
1561	1368	1444	2044	
1408	1358	1468	2032	
1446	1328	1496	1976	
1502	1382	1501	1998	
1458	1314	1483	2022	
1486	1337	1465	1986	
1496	1258	1435	1943	
1437	1356	1441	1956	
1435	1260	1462	1942	
1448	1310	1462	1909	
1440	1293	1409	1895	
1452	1312	1428	1848	
1366	1242	1435	1876	
1375	1281	1380	1842	
1421	1317	1391	1846	
1443	1206	1391	1844	
1286	1179	1420	1836	
1362	1275	1369	1810	
1350	1197	1328	1822	
1309	1151	1363	1773	
1370	1261	1277	1795	
1350	1134	1313	1746	
1313	1163	1344	1760	
1324	1149	1295	1681	
1294	1152	1282	1772	
1324	1170	1275	1731	
1329	1223	1287	1678	
1225	1142	1293	1701	
1295	1115	1258	1700	
1301	1146	1232	1661	
1302	1124	1273	1765	
1302	1174	1228	1658	
