NanoHarp 250 Histogram Data			02/04/2021 12:12:20 PM
#channels per curve
1075
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
1024.0000	1024.0000	1024.0000	
#counts
10	8	11	
6	14	7	
17	14	13	
20	9	12	
28	16	23	
39	30	20	
43	23	50	
79	46	43	
117	55	76	
148	70	113	
211	81	144	
256	104	186	
336	130	269	
401	142	262	
444	191	349	
543	230	395	
674	268	470	
718	289	553	
858	349	636	
966	406	670	
1035	443	780	
1111	481	864	
1186	569	950	
1324	596	1014	
1389	663	1157	
1456	708	1168	
1506	781	1250	
1675	849	1344	
1727	901	1437	
1789	934	1483	
1879	1004	1512	
1896	1089	1663	
1925	1083	1746	
2043	1227	1798	
2111	1282	1855	
2167	1322	1893	
2243	1353	1969	
2283	1395	2021	
2313	1460	2088	
2381	1528	2161	
2430	1573	2264	
2529	1541	2243	
2555	1666	2332	
2538	1768	2298	
2576	1715	2377	
2676	1796	2527	
2687	1807	2447	
2728	2000	2548	
2747	2012	2500	
2801	1978	2594	
2803	2074	2667	
2793	2077	2702	
2858	2166	2739	
2875	2185	2782	
2891	2229	2781	
2994	2178	2850	
2983	2243	2825	
2971	2315	2918	
3033	2366	2932	
3007	2282	2941	
3089	2437	2964	
3070	2370	2987	
3095	2505	3033	
3114	2508	3044	
3197	2530	3057	
3197	2546	3132	
3141	2623	3074	
3191	2605	3132	
3252	2617	3200	
3247	2668	3188	
3297	2639	3194	
3236	2784	3231	
3303	2755	3301	
3329	2713	3229	
3339	2735	3265	
3320	2843	3275	
3326	2856	3329	
3414	2864	3360	
3392	2900	3360	
3429	2904	3366	
3402	2940	3307	
3450	3016	3384	
3452	2966	3457	
3458	3015	3407	
3476	2966	3415	
3440	3019	3433	
3492	3076	3461	
3444	3065	3437	
3496	3102	3502	
3525	3152	3486	
3540	3119	3536	
3507	3100	3532	
3566	3152	3508	
3518	3194	3541	
3566	3178	3432	
3565	3229	3616	
3588	3185	3567	
3607	3239	3550	
3561	3234	3589	
3643	3232	3612	
3646	3244	3612	
3622	3298	3601	
3657	3317	3590	
3608	3258	3586	
3663	3251	3648	
3631	3381	3661	
3701	3346	3652	
3677	3437	3685	
3685	3357	3693	
3710	3337	3694	
3718	3433	3738	
3694	3421	3673	
3688	3442	3739	
3677	3395	3732	
